Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
PAYX, Paychex Inc., 54.06, -0.34,-0.63, 937621, -.1,
PYPL, PayPal Holdings Inc., 35.18, -0.18,-0.51, 2549393, .0,
QCOM, QUALCOMM Incorporated, 48.54, -0.08,-0.16, 3440831, -.1,
REGN, Regeneron Pharmaceuticals Inc., 563.1, 1.41,0.25, 466638, .1,
ROST, Ross Stores Inc., 52.66, -0.08,-0.15, 1070434, .0,
SNDK, SanDisk Corporation, 74.58, 0.09,0.12, 451836, .0,
SBAC, SBA Communications Corporation, 106.39, 0.75,0.71, 347779, .1,
STX, Seagate Technology., 34.62, 0.05,0.14, 912032, .0,
SIRI, Sirius XM Holdings Inc., 4.135, 0.02,0.49, 8268394, .1,
SWKS, Skyworks Solutions Inc., 81.9, 1.59,1.98, 1556239, .0,
SPLS, Staples Inc., 12.31, -0.01,-0.08, 3941865, .0,
SBUX, Starbucks Corporation, 62.18, -0.01,-0.02, 2447435, .0,
SRCL, Stericycle Inc., 120.69, -1.72,-1.41, 701186, -.1,
SYMC, Symantec Corporation, 19.5, -0.36,-1.81, 3681431, -.2,
TSLA, Tesla Motors Inc., 231.61, 1.97,0.86, 1949353, .2,
TXN, Texas Instruments Incorporated, 57.55, 0.28,0.49, 1508668, .3,
KHC, The Kraft Heinz Company, 74.61, -0.03,-0.04, 773075, .0,
PCLN, The Priceline Group Inc., 1244.99, -0.76,-0.06, 278974, .0,
TSCO, Tractor Supply Company, 91.41, 0.27,0.3, 277398, .0,
TRIP, TripAdvisor Inc., 82.79, 0.02,0.02, 558373, .0,
FOX, Twenty-First Century Fox Inc., 29.9, -0.42,-1.39, 2081302, .0,
FOXA, Twenty-First Century Fox Inc., 29.54, -0.36,-1.2, 4750711, -.5,
VRSK, Verisk Analytics Inc., 74.88, 0.42,0.56, 361289, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 133.06, 1.09,0.83, 340513, .2,
VIAB, Viacom Inc., 51.16, -1.19,-2.27, 2455573, -.4,
VIP, VimpelCom Ltd., 3.42, -0.18,-5, 1604989, -.3,
VOD, Vodafone Group Plc, 33.81, 0.12,0.36, 1686347, .1,
WBA, Walgreens Boots Alliance Inc., 84.18, 0.78,0.94, 2344313, .0,
WDC, Western Digital Corporation, 61.73, 0.1,0.16, 755783, .0,
WFM, Whole Foods Market Inc., 29.41, -0.43,-1.44, 2143102, -.1,
WYNN, Wynn Resorts Limited, 61.05, -1.2,-1.93, 2286120, -.1,
XLNX, Xilinx Inc., 49.23, 0.22,0.45, 680119, .1,
YHOO, Yahoo! Inc., 32.94, -0.22,-0.66, 5315122, -.2,
